Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
SPL_Sep3,Duplicity_Checker_package.Code,Aboutus,Aboutus,7,1,0,12,0,Duplicity_Checker_package.Code.Aboutus,Duplicity_Checker_package.Code.Aboutus
SPL_Sep3,Duplicity_Checker_package.Code,Aboutus,design,42,1,0,20,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Aboutus,actionPerformed,6,1,1,57,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Back_Button,backbutton,10,1,0,8,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Basic_Frame_Duplicity,Basic_Frame_Duplicity,4,1,0,15,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Basic_Frame_Duplicity,setPanel,7,1,0,20,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Basic_Frame_Duplicity,userinterface,32,1,0,28,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Basic_Frame_Duplicity,buttons,38,1,0,66,0,,
SPL_Sep3,Duplicity_Checker_package.Code,ButtonSound,playsound,14,2,0,13,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,Capitalization,125,8,0,23,0,Duplicity_Checker_package.Code.Capitalization,Duplicity_Checker_package.Code.Capitalization
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,actionPerformed,6,1,1,79,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,actionPerformed,44,6,1,89,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,actionPerformed,4,1,1,136,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,actionPerformed,13,3,1,144,0,Duplicity_Checker_package.Code.Capitalization,Duplicity_Checker_package.Code.Capitalization
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,capitalize,8,2,1,168,0,Duplicity_Checker_package.Code.Capitalization,Duplicity_Checker_package.Code.Capitalization
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,getCapitalizeString,4,1,1,176,0,Duplicity_Checker_package.Code.Capitalization,Duplicity_Checker_package.Code.Capitalization
